category,ambiguity,filename,risk,n_events,summary
accident,net,_XXq1kmmBYY_trim_6.mp4,Yüksek,1,Forklift tavandan sarkan kabloya çarpıyor ve tavan çöküyor.
accident,net,forklift guy was chilling when a woman attacks his forks [s-UHzuOh3B4].mp4,Yüksek,1,Çalışan bisiklet ile forklifte çarpıyor
accident,net,sunil kumar rana - ⚠️ A routine warehouse task turned dangerous when an overloaded forkl... [2063292024804327424].mp4,Yüksek,1,Forklift çalışanın üzerine devriliyor.
accident,net,"worlds best forklift driver, Not!!! [vy6pNEFo_uE] - Trim.mp4",Yüksek,1,Forklift depodaki yük dolu raflara çarpıyor. Raf yüklerle birlikte devriliyor.
near_miss,net,001e53453441935632ae_run_1_seed_1288693302.ceiling_00.rgb.mp4,Orta,1,Forklift çalışanın çok yakınından geçti. Çalışan son anda kurtuldu.
near_miss,net,001e53453441935632ae_run_1_seed_1288693302.ceiling_01.rgb.mp4,Orta,1,Forklift çalışanın çok yakınından geçti. Çalışan son anda kurtuldu.
near_miss,net,005bc639df8c4a2b36e0_run_21_seed_1062601381.ceiling_00.rgb.mp4,Orta,1,Forklift çalışanın çok yakınından geçti. Çalışan son anda kurtuldu.
near_miss,net,00e0991fbc61ad24102b_run_4_seed_1246964153.ceiling_00.rgb.mp4,Orta,1,Forklift çalışanın çok yakınından geçti. Çalışan son anda kurtuldu.
near_miss,net,00f2bbb80d7badad0134_run_25_seed_750796930.ceiling_00.rgb.mp4,Orta,3,Forklift çalışanın çok yakınından geçti. Çalışan son anda kurtuldu.
near_miss,net,01021d3989e38beb3395_run_10_seed_213384163.ceiling_00.rgb.mp4,Orta,1,Forklift çalışanın çok yakınından geçti. Çalışan son anda kurtuldu.
near_miss,net,0137e00c677a4118e887_run_2_seed_1276653305.ceiling_00.rgb.mp4,Orta,2,Forklift çalışanın çok yakınından geçti. Çalışan son anda kurtuldu.
near_miss,net,014f5a0f9461dfae29d5_run_13_seed_587824276.ceiling_00.rgb.mp4,Orta,1,Forklift çalışanın çok yakınından geçti. Çalışan son anda kurtuldu.
near_miss,net,016c1396912bfc432997_run_3_seed_1053328212.ceiling_00.rgb.mp4,Orta,1,Forklift çalışanın çok yakınından geçti. Çalışan son anda kurtuldu.
near_miss,net,018461e5b5cf7a482d3f_run_7_seed_659607876.ceiling_00.rgb.mp4,Orta,1,Forklift çalışanın çok yakınından geçti. Çalışan son anda kurtuldu.
near_miss,net,019b03676f77ba21f644_run_5_seed_946900070.ceiling_00.rgb.mp4,Orta,1,Forklift çalışanın çok yakınından geçti. Çalışan son anda kurtuldu.
near_miss,belirsiz,Accident at work!!.mp4,Orta,1,Taşınan yükten çıkan bir parça çalışanın üstüne düştü. Çalışan parçanın altında kalmaktan son anda kurtuldu.
near_miss,net,Daily Safety Fails🤯This is WHY You Stay Alert Around Forklifts – Near Miss🤯- #fail #safetyfails [GyU1XMIhu_o].mp4,Orta,1,Rafta bulunan yük çalışanların üzerine düştü. Çalışanlar yükün altında kalmaktan son anda kurtuldu.
near_miss,belirsiz,Forklift ear miss pedestrian not watching almost gets hit twice [pLjVBBW_g7c].mp4,Orta,1,Forklift çalışanın çok yakınından geçti. Çalışan son anda kurtuldu.
near_miss,belirsiz,How NOT to UNLOAD a truck [t0abC-2oucI].mp4,Orta,1,Kamyonun arkasındaki yük indirilirken düştü. Çalışan yükün altında kalmaktan son anda kurtuldu.
near_miss,net,Near miss walk into the path of a forklift [EHyWjeJi1Oc].mp4,Orta,1,Forklift çalışanın çok yakınından geçti. Çalışan son anda kurtuldu.
near_miss,net,Unloading truck goes wrong ｜ ViralCraft [jsg4cVJZib4].mp4,Orta,1,Kamyonun arkasındaki yük indirilirken düştü. Çalışan yükün altında kalmaktan son anda kurtuldu.
near_miss,net,_2tSBxyAwLs_trim_8.mp4,Orta,1,Kamyonun arkasındaki yük indirilirken düştü. Çalışanlar yükün altında kalmaktan son anda kurtuldu
near_miss,net,_4GgKoR0OOw_trim_130.mp4,Orta,1,Çalışan forkliftin altında kalmaktan son anda kurtuldu.
normal,net,06 20260717 182500 [iUGNs3bd26Q].mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,0_te1.mp4,Düşük,1,Çalışan rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,0_tr11.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,0_tr5.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,30 July 2026 [XKZTNxMX0Lk].mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,5_te13.mp4,Düşük,1,Çalışan rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,5_te14.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,7_tr19.mp4,Düşük,1,Çalışan rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,7_tr20.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,ClearPix Camera Warehouse Dock [G8z74loJO7U].mp4,Düşük,2,Çalışan rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,Example of Hi-Definition Video Surveillance of a Factory Floor - by CCTVDOC.COM [8DJi4PrdFCg].mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor.. Normal gözüküyor.
normal,net,TTKT1 ch2 20260801221500 20260801221601 [sk-ajvP4k_A].mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor.. Normal gözüküyor.
normal,belirsiz,clip_ASP_ASP__in_out_gas_line_20251212_000510_0007.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor.. Duman var ama normal gözüküyor.
normal,net,clip_BF_CDI_Ground_CC2_20251111_000745_0031.mp4,Düşük,1,Çalışan rutin aktivitesini sürdürüyor.  Normal gözüküyor.
normal,belirsiz,clip_BF_Conveyor_JN_21_20251111_001456_0058.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,clip_CO_-_ASF_FBD-1_BAGGING_AREA_20251111_001013_0041.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,clip_CRM_1&2_CONV#2_20251129_000150_0008.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,clip_CRM_1&2_CONV#2_20251129_002752_0094.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,clip_CRM_WORK_SHOP_20260403_000215_0009.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,clip_HME_Work_Shop_20251111_000740_0030.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,clip_RED_LRS-1_20251111_000204_0007.mp4,Düşük,2,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,clip_RED_LRS-1_20251111_000612_0021.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,clip_RERS_2_RERS-2_20251212_000040_0001.mp4,Düşük,1,Çalışan rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,belirsiz,clip_RERS_RERS-1_20251115_000405_0015.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Alev var ama normal gözüküyor.
normal,belirsiz,clip_SMS_1_Crane_Lavel_HPTC_20260303_000019_0000.mp4,Düşük,1,Görüntüde alevler var ama normal gözüküyor.
normal,net,clip_Sinter_Plant_Flux_Screening_20251115_001517_0042.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,clip_Sinter_Plant_Flux_Screening_20260303_000345_0015.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,belirsiz,clip_TAR_Plant_DC-Floor_left_20251115_000000_0000.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Görüntüde duman var ama normal gözüküyor.
normal,net,clip_Tippler_1&2_CP_IP_Cam_20251127_000108_0002.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,clip_Tippler_1&2_WT-1_Load_Side_20260403_003515_0055.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
normal,net,clip_Tippler_3&4_WT4_EMPTY_SIDE_20260403_001811_0046.mp4,Düşük,1,Çalışanlar rutin aktivitesini sürdürüyor. Normal gözüküyor.
